SMILES,MDR1-MDCK2
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)NC(=O)CO2,1.22
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(n1)OCCO2,20.7
CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCO4)C(C)C)ncnc2[nH]1,0.471
COc1ccc([C@@H](NC(=O)c2[nH]cnc3nccc2-3)C(C)c2nnn[nH]2)cc1,1.13
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.98
CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,2.61
CNCc1cc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,0.483
CC(C)[C@@H](Nc1ncnc(N)c1Cl)c1ccc2c(c1)S(=O)(=O)CCC2,10.1
CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,2.9
Cc1nn(C)cc1-c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,3.69
CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)cn1,1.94
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,1.27
CC(C)[C@H](Nc1ncnc2[nH]cc(C(=O)NC3CC3)c12)c1ccc2c(c1)S(=O)(=O)CCC2,1.27
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCO2,4.4
COc1ccc([C@H](Cc2nnn[nH]2)NC(=O)c2ncnc3[nH]ccc23)cc1,1.07
CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCO4)C(C)C)ncnc2[nH]1,0.0739
CCNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,0.717
CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,0.7
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)NC(=O)CO2,9.35
C[C@H](C(=O)O)[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(Br)cc1,0.682
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)OCCO2,4.2
CC(C)(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,0.364
CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)N[C@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.0762
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,1.87
CC(C)(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,1.66
CNC(=O)c1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)NC(=O)CO4)C(C)C)c12,4.26
CC(C)[C@H](Nc1ncnc2[nH]c(C(=O)N[C@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.175
CNC(=O)c1cccc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)c1,0.627
CNC(=O)c1c[nH]c2ncnc(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,1.61
Cn1ncc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)(C)C)ncnc3[nH]2)c1C#N,2.79
CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,0.532
CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,5.5
CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.12
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.555
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.17
CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)NC(=O)CO2,3.4
COc1ccc2c(c1)CCN(c1ncnc3[nH]ccc13)[C@H]2C(C)C,7
Cn1ncc(-c2cc3c(N[C@@H](c4ccc5c(n4)OCCO5)C(C)(C)C)ncnc3[nH]2)c1C#N,13.5
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)NC(=O)CO2,8.7
CC(C)[C@@H](Nc1ncnc2[nH]cc(C(=O)NC3CC3)c12)c1ccc2c(c1)S(=O)(=O)CCC2,2.97
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,0.47
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,0.159
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,13.7
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,1.05
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)NC(=O)CO2,1.36
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.67
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.82
CNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,0.891
O=C(Nc1ccccc1)Nc1ccc(C(=O)NC2c3cccc(O)c3CC2C(=O)O)cc1,0.7
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,0.9
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)OCCO2,5.56
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,3.3
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)NCC2,1.58
CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)N[C@@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,2.94
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4cncn4c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.56
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,4.33
CC(C)(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,1.02
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)NC(=O)CO2,9.64
CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,0.916
CC(C)[C@H](Nc1ncnc2[nH]c(C(=O)N[C@@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.707
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4nnn(C)c4c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.827
CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)NC(=O)CO4)C(C)C)ncnc2[nH]1,1.21
CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,2.41
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,1.09
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CCC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,1.46
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)NC(=O)CO2,3.07
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.73
Cc1nn(C)cc1-c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,4.36
Cc1nn(C)cc1-c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,0.0911
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,2.05
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,14.6
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)OCCO2,31.5
CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,0.0339
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)NC(=O)CO2,2.4
CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,0.377
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.087
CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,0.0775
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)NC(=O)CO2,0.0964
CNC(=O)c1cccc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)c1,0.502
CNC(=O)Cn1cc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,0.396
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.0832
CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.109
COc1ccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)cc1,1.7
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,1.15
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.719
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,12.8
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,2.46
CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,0.47
CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,1.61
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.5
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.32
Cn1ncc(-c2cc3c(N[C@@H](c4ccc5c(n4)OCCO5)C(C)(C)C)ncnc3[nH]2)c1C#N,9.87
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)OCCO2,26.8
Cn1ncc(-c2cc3c(N[C@@H](c4ccc5c(n4)OCCO5)C(C)(C)C)ncnc3[nH]2)c1C#N,14
CC(C)(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,1.01
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,1.62
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,0.149
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)OCCO2,5.11
CC(C)[C@@H](Nc1ncnc2[nH]cc(C(=O)NC3CC3)c12)c1ccc2c(c1)S(=O)(=O)CCC2,2.46
CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,3.55
CNC(=O)c1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,0.857
CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,0.46
CC(C)(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,0.822
COc1ccc([C@@H](Cc2nnn[nH]2)NC(=O)c2ncnc3[nH]ccc23)cc1,1.39
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,21.3
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.97
CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)NC(=O)CO4)C(C)C)ncnc2[nH]1,0.873
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)NC(=O)CO2,2.35
CNC(=O)c1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,2.23
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)NC(=O)CO2,9.83
NC12CC3CC(CC(C3)C1)C2,7.1
CN(C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,9.8
ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,14.8
CNCCC(OC1=CC=CC=C1C)C1=CC=CC=C1,15.7
CC(NC(C)(C)C)C(=O)C1=CC(C)=CC=C1,47.5
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,30.9
CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(Cl)C=C12,7.4
CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,18.1
CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,28.3
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,46.4
COC1=CC2=C(C=C1OC)C(=O)C(CC1CCN(CC3=CC=CC=C3)CC1)C2,33.8
CN(C)CCC=C1C2=C(COC3=C1C=CC=C3)C=CC=C2,16.3
CN1C[C@@H](C=C2[C@H]1CC1=CNC3=C1C2=CC=C3)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O,10.2
CCC1(C)CC(=O)NC1=O,9.7
CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,6.4
OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(C=C23)C(F)(F)F)CC1,3.5
NCC1(CC(O)=O)CCCCC1,0.4
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,28.6
CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1,17.7
NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,19.9
CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2,18.2
CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21,5.9
CCCC(C)(COC(N)=O)COC(N)=O,9.3
CN1CCCCC1CCN1C2=CC=CC=C2SC2=CC=C(C=C12)S(C)=O,14.9
CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1,16.8
CC1=NC=C2CN=C(C3=C(F)C=CC=C3)C3=C(C=CC(Cl)=C3)N12,36.8
CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CN=C21,32.4
CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,15.7
NC1=NC(=O)C(O1)C1=CC=CC=C1,4.6
CCCN1C[C@H](CSC)CC2[C@H]1CC1=CNC3=C1C2=CC=C3,25.1
OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,1.8
NNCCC1=CC=CC=C1,54.7
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,27.2
CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,2.5
OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12,33
CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,30
CN(C)CCC1=CNC2=CC=C(CN3C=NC=N3)C=C12,1
C[C@H](CC1=CC=CC=C1)N(C)CC#C,48.6
CN[C@H]1CC[C@@H](C2=CC=C(Cl)C(Cl)=C2)C2=C1C=CC=C2,2.1
CNCS(=O)(=O)C1=CC=C2NC=C(CCN(C)C)C2=C1,0.4
NC1=C2CCCCC2=NC2=C1C=CC=C2,28.4
CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,42.1
CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,1.4
CN(C)S(=O)(=O)C1=CC2=C(SC3=C(C=CC=C3)\C2=C/CCN2CCN(C)CC2)C=C1,3.4
CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1,17.1
ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,37.7
CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,0.7
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,11.7
CCN(C(C)=O)C1=CC(=CC=C1)C1=CC=NC2=C(C=NN12)C#N,37.5
ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,11.7
CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1,1.7
CC(=O)NC1=CC=C(O)C=C1,35
CC(=O)OC1=C(C=CC=C1)C(O)=O,7.4
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1,2.2
NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,0.21
CC(C)NCC(O)COC1=CC=CC=C1CC=C,160
OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,0.24
[H]C1=C(N(N(C1=O)C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])[H],150
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,1.8
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,6
CC1=CC=C(C=C1)S([O-])(=O)=O.CC[N+](C)(C)CC1=C(Br)C=CC=C1,1.4
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,130
CC(O)CO.N[C@@H](C(=O)N[C@H]1[C@H]2SCC(CSC3=NNN=C3)=C(N2C1=O)C(O)=O)C1=CC=C(O)C=C1,2.5
[Na+].CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C([O-])=O)C1=CC=CO1,0.16
O.CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O)C(O)=O,0.48
NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O,0.3
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,140
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,20
FC1=C2O[C@H]3CNC[C@@H]3OC2=CC=C1,250
NS(=O)(=O)C1=CC(C(O)=O)=C(NCC2=CC=CO2)C=C1Cl,0.62
NCC1(CC(O)=O)CCCCC1,0.36
[H]N([H])C(=N\N=C(/[H])C1=C(Cl)C([H])=C([H])C([H])=C1Cl)N([H])[H],190
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,1
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,31
CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,20
C[C@H](CCC1=CC=CC=C1)NC[C@H](O)C1=CC(C(N)=O)=C(O)C=C1,25
NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,88
O.O.NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,0.18
O.N[C@@H](C(=O)NC1C2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1,0.91
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,16
COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,150
CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2,1.4
CC#CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C(=O)NC1=O,1.4
OC(=O)C1=C\C(C=CC1=O)=N/NC1=CC(C(O)=O)=C(O)C=C1,0.048
[H]C1=C([H])N(C(=N1)C([H])([H])[H])C([H])([H])C1([H])C(=O)C2=C(N(C3=C([H])C([H])=C([H])C([H])=C23)C([H])([H])[H])C([H])([H])C1([H])[H],110
CC(C)NC[C@@H](O)COC1=C(OCC=C)C=CC=C1,130
CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O,0.15
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,120
CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,59
CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1,1.3
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,160
CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,170
CCCC1=CC(=O)NC(=S)N1,41
OC(=O)C1=C(O)C=CC=C1,10
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,4.7
OC(=O)C1=C\C(C=CC1=O)=N\NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,0.48
OC(=O)CCC(O)=O.CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1,1.9
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,140
OC(=O)\C=C/C(O)=O.CC(C)(C)NC[C@H](O)COC1=NSN=C1N1CCOCC1,55
COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,52
[Na+].CC(=O)CC(C1=CC=CC=C1)C1=C([O-])C2=CC=CC=C2OC1=O,44
CC(N)C(O)=O,2000
CN1N(C(=O)C=C1C)C1=CC=CC=C1,43600
CC1=CN(C2CC(N=[N]#N)C(CO)O2)C(=O)NC1=O,2400
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,39800
CN\C(NCCSCC1=C(C)NC=N1)=N/C#N,800
CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,1100
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,37500
